date,location,time,site,plot,impact,nh4,no3.no2,srp,din,doc,vol.col.l,vol.col.mm
29-Oct-15,Moonbeam,3,MB,1,Low,0.072826259,0.012241553,2.451932793,0.085067813,114.8,,
29-Oct-15,Moonbeam,3,MB,2,Low,0.074775205,0.061218713,2.292856584,0.135993917,46.3,,
29-Oct-15,Moonbeam,3,MB,3,Low,0.095422101,0.015980702,2.235460528,0.111402803,125.1,,
29-Oct-15,Stand Up,3,SU,1,Low,0.090443807,0.045977409,0.528098232,0.136421216,172.8,1.25,38.54541328
29-Oct-15,Stand Up,3,SU,2,Low,0.095562425,0.065170443,5.192907735,0.160732868,383,1.24,38.23704997
29-Oct-15,Stand Up,3,SU,3,Low,0.100223385,0.016181895,0.149321491,0.11640528,46.7,,
29-Oct-15,Jungle,3,JC,1,Low,0.173493635,0.032319076,0.995218043,0.205812711,126.5,,
29-Oct-15,Jungle,3,JC,2,Low,0.107118523,0.128610707,9.364885857,0.23572923,495,,
29-Oct-15,Jungle,3,JC,3,Low,0.094074806,0.093587976,2.414240091,0.187662783,508.5,,
8-Nov-15,Cougar,4,BG,1,High,0.006770786,0.012556561,0.382078727,0.019327346,886.6,,
8-Nov-15,Cougar,4,BG,2,High,0.004834709,0.007616267,0.798176601,0.012450976,27.6,,
8-Nov-15,Cougar,4,BG,3,High,0.095910355,0.163894111,67.72842017,0.259804465,88.1,,
8-Nov-15,Hurley,4,HU,1,High,0.000981389,0.008138299,0.175898695,0.009119689,67.7,,
8-Nov-15,Hurley,4,HU,2,High,0.00311145,0.008321529,0.857662308,0.011432979,102.1,,
8-Nov-15,Hurley,4,HU,3,High,0.010155153,0.018157173,0.814116912,0.028312327,71.8,,
8-Nov-15,Hovey,4,HO,1,High,0.003279068,0.010803776,0.326752372,0.014082844,13.4,2.81,86.65008906
8-Nov-15,Hovey,4,HO,2,High,0.005677505,0.010312858,0.581286136,0.015990363,38.9,0.21,
8-Nov-15,Hovey,4,HO,3,High,0.009142856,0.012525446,0.284250981,0.021668302,41,,
8-Nov-15,Blue,4,BC,1,High,0.014357833,0.022976466,2.828196066,0.0373343,112.7,,
8-Nov-15,Blue,4,BC,2,High,0.004530549,0.014091543,0.560442902,0.018622093,46.7,,
8-Nov-15,Blue,4,BC,3,High,0.011942446,0.009517709,0.327402997,0.021460155,27.4,,
8-Nov-15,Moonbeam,4,MB,1,Low,0.003922229,0.004771017,0.193400506,0.008693247,12.1,,
8-Nov-15,Moonbeam,4,MB,2,Low,0.007254805,0.012494332,0.986741645,0.019749137,49.4,,
8-Nov-15,Moonbeam,4,MB,3,Low,0.00978696,0.006852233,0.39848377,0.016639192,28.6,,
8-Nov-15,Jack,4,JA,1,Low,0.009001606,0.015968786,0.605405731,0.024970392,38.8,,
8-Nov-15,Jack,4,JA,2,Low,0.011025258,0.015754441,0.870535387,0.026779699,44.7,,
8-Nov-15,Jack,4,JA,3,Low,0.006206725,0.01154361,0.267381207,0.017750335,23.9,,
8-Nov-15,Stand Up,4,SU,1,Low,0.006524068,0.012891906,0.133273468,0.019415974,29.1,2.33,71.84865036
8-Nov-15,Stand Up,4,SU,2,Low,0.073307763,0.038282157,2.649097747,0.11158992,150.9,2.41,74.31555681
8-Nov-15,Stand Up,4,SU,3,Low,0.003615245,0.00614697,0.053520795,0.009762215,9.5,,
