date,site.name,sample.event,site,type,rep,budworm,nh4.mg.l,no3.mg.l,srp.mg.l,din.mg.l,doc.mg.l,col.volume.l,col.volume.mm,nh4.flux,no3.flux,srp.flux,din.flux,doc.flux,net.nh4.flux,net.no3.flux,net.srp.flux,net.din.flux,net.doc.flux,net.h2o.flux,c.n,n.p,c.p
11-Sep-15,Blue,1,BC,TF,3,High,0.595249,,14.2,0.595249,240.2,0.04,1.233453225,0.007342118,NA,0.175150358,NA,2.962754646,-0.022415582,NA,0.118308254,NA,-13.54393314,-31.45305724,470.7833752,0.092820518,43.69835681
11-Sep-15,Cougar,1,BG,TF,1,High,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11-Sep-15,Cougar,1,BG,TF,2,High,0.1572921,0.236737678,1.229732573,0.394029778,330.2,0.2,6.167266125,0.009700622,0.014600243,0.07584088,0.024300865,20.36431274,-0.020057078,-0.026186305,0.018998777,-0.046243383,3.857624961,-26.51924434,977.6756849,0.709499389,693.660301
11-Sep-15,Cougar,1,BG,TF,3,High,0.128583656,0.132958442,2.354375027,0.261542098,230.3,0.05,1.541816531,0.001982524,0.002049975,0.036300143,0.004032499,3.550803471,-0.027775176,-0.038736573,-0.02054196,-0.066511749,-12.95588431,-31.14469393,1027.304345,0.245979899,252.6962187
15-Oct-15,Jungle,2,JC,TF,1,Low,0.01926126,0.050416254,1.337064909,0.069677513,213.1,0.12,3.700359675,0.000712736,0.001865583,0.049476211,0.002578319,7.885466467,-0.000547632,0.001457997,0.049183666,0.000910365,5.321579758,-14.03053043,3568.10475,0.115391498,411.7289518
15-Oct-15,Jungle,2,JC,TF,2,Low,0.035948357,0.107820862,1.295882883,0.143769219,540,0.04,1.233453225,0.000443406,0.00132992,0.015984109,0.001773326,6.660647415,-0.000816962,0.000922334,0.015691564,0.000105373,4.096760705,-16.49743688,4382.02284,0.245659643,1076.486169
15-Oct-15,Jungle,2,JC,TF,3,Low,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-Oct-15,Jack,2,JA,TF,1,Low,0.009335083,0.123419189,1.183419479,0.132754272,648.8,0.06,1.850179837,0.000172716,0.002283477,0.021895389,0.002456193,12.00396679,-0.001087652,0.001875891,0.021602844,0.000788239,9.440080076,-15.88071027,5701.762514,0.248395344,1416.291262
15-Oct-15,Jack,2,JA,TF,2,Low,0.011333804,0.031622112,1.317065774,0.042955915,172.2,0.04,1.233453225,0.000139797,0.000390044,0.01624539,0.000529841,2.124006453,-0.001120571,-1.75E-05,0.015952845,-0.001138112,-0.439880256,-16.49743688,4676.887885,0.072218618,337.7583783
15-Oct-15,Jack,2,JA,TF,3,Low,0.015402363,0.032987482,1.222170537,0.048389845,209,0.14,4.317086287,0.000664933,0.001424098,0.052762157,0.002089031,9.022710341,-0.000595435,0.001016512,0.052469612,0.000421078,6.458823631,-13.41380382,5038.935999,0.087671025,441.7686815
15-Oct-15,Moonbeam,2,MB,TF,1,Low,0.014085277,0.021558961,0.676034433,0.035644238,71.2,0.21,6.475629431,0.00091211,0.001396078,0.043777485,0.002308189,4.610648155,-0.000348258,0.000988493,0.04348494,0.000640235,2.046761445,-11.25526068,2330.437444,0.11674927,272.0768712
15-Oct-15,Moonbeam,2,MB,TF,2,Low,0.00778155,0.024108883,1.325588381,0.031890433,140.2,0.05,1.541816531,0.000119977,0.000371715,0.020438141,0.000491692,2.161626777,-0.001140391,-3.59E-05,0.020145596,-0.001176262,-0.402259933,-16.18907358,5129.019979,0.053270329,273.2245835
