index,location,plot,time,date,year.month,impact,o.temp.2cm,a.temp.10cm,temp.avg
1,Blue,1,1,9/10/2015,15-Sep,High,12.9,11.8,12.35
2,Blue,2,1,9/10/2015,15-Sep,High,11.8,11.3,11.55
3,Blue,3,1,9/10/2015,15-Sep,High,14.9,11.8,13.35
4,Cougar,1,1,9/10/2015,15-Sep,High,13.6,11.9,12.75
5,Cougar,2,1,9/10/2015,15-Sep,High,16.7,12.5,14.6
6,Cougar,3,1,9/10/2015,15-Sep,High,14.3,11.9,13.1
7,Hovey,1,1,9/10/2015,15-Sep,High,15.2,11.7,13.45
8,Hovey,2,1,9/10/2015,15-Sep,High,12.9,11.6,12.25
9,Hovey,3,1,9/10/2015,15-Sep,High,16.3,13.1,14.7
10,Hurley,1,1,9/10/2015,15-Sep,High,15.3,12.6,13.95
11,Hurley,2,1,9/10/2015,15-Sep,High,14.1,11.8,12.95
12,Hurley,3,1,9/10/2015,15-Sep,High,14.4,12.3,13.35
13,Jack,1,1,9/10/2015,15-Sep,Low,13.3,11.6,12.45
14,Jack,2,1,9/10/2015,15-Sep,Low,15.3,12,13.65
15,Jack,3,1,9/10/2015,15-Sep,Low,15.9,11.8,13.85
16,Moonbeam,1,1,9/10/2015,15-Sep,Low,12.7,10.4,11.55
17,Moonbeam,2,1,9/10/2015,15-Sep,Low,13.2,10.7,11.95
18,Moonbeam,3,1,9/10/2015,15-Sep,Low,14.3,11.1,12.7
19,Jungle,1,1,9/11/2015,15-Sep,Low,11.9,10.7,11.3
20,Jungle,2,1,9/11/2015,15-Sep,Low,15.1,11.9,13.5
21,Jungle,3,1,9/11/2015,15-Sep,Low,14.1,12.4,13.25
22,Standup,1,1,9/11/2015,15-Sep,Low,12.4,12.7,12.55
23,Standup,2,1,9/11/2015,15-Sep,Low,11.3,11.6,11.45
24,Standup,3,1,9/11/2015,15-Sep,Low,11.6,11.6,11.6
25,Blue,1,2,10/11/2015,15-Oct,High,9.3,9.2,9.25
26,Blue,2,2,10/11/2015,15-Oct,High,8.7,8.4,8.55
