date,location,time,plot,impact,nh4,no3.no2,srp,din,doc,Volume in Collector (L),,units in mg L-1
29-Oct-15,Stand Up,3,2,Low,,0.054683632,,0.054683632,383,0.04,,
29-Oct-15,Stand Up,3,3,Low,,0.013578008,,0.013578008,46.7,0.74,,
29-Oct-15,Jungle,3,1,Low,,0.027118497,,0.027118497,126.5,0.65,,
29-Oct-15,Jungle,3,2,Low,,0.107915494,,0.107915494,495,0.14,,
29-Oct-15,Jungle,3,3,Low,,0.078528398,,0.078528398,508.5,0.28,,
8-Nov-15,Cougar,4,1,High,0.006770786,0.011364922,0.382078727,0.018135708,886.6,1.41,,
8-Nov-15,Cougar,4,2,High,0.004834709,0.006893471,0.798176601,0.01172818,27.6,1.07,,
8-Nov-15,Cougar,4,3,High,0.095910355,0.148340291,67.72842017,0.244250646,88.1,0.55,,
8-Nov-15,Hurley,4,1,High,0.000981389,0.007365961,0.175898695,0.008347351,67.7,3.04,,
8-Nov-15,Hurley,4,2,High,0.00311145,0.007531802,0.857662308,0.010643253,102.1,2.38,,
8-Nov-15,Hurley,4,3,High,0.010155153,0.016434028,0.814116912,0.026589181,71.8,2.24,,
8-Nov-15,Hovey,4,1,High,0.003279068,0.00977848,0.326752372,0.013057548,13.4,2.32,,
8-Nov-15,Hovey,4,2,High,0.005677505,0.009334151,0.581286136,0.015011656,38.9,1.76,,
8-Nov-15,Hovey,4,3,High,0.009142856,0.011336761,0.284250981,0.020479617,41,2.13,,
8-Nov-15,Blue,4,1,High,0.014357833,0.020795962,2.828196066,0.035153795,112.7,0.64,,
8-Nov-15,Blue,4,2,High,0.004530549,0.012754233,0.560442902,0.017284782,46.7,1.63,,
8-Nov-15,Blue,4,3,High,0.011942446,0.008614463,0.327402997,0.020556909,27.4,2.87,,
8-Nov-15,Moonbeam,4,1,Low,0.003922229,0.00431824,0.193400506,0.008240469,12.1,1.76,,
8-Nov-15,Moonbeam,4,2,Low,0.007254805,0.011308599,0.986741645,0.018563404,49.4,1.35,,
8-Nov-15,Moonbeam,4,3,Low,0.00978696,0.006201944,0.39848377,0.015988904,28.6,1.7,,
8-Nov-15,Jack,4,1,Low,0.009001606,0.014453322,0.605405731,0.023454928,38.8,1.49,,
8-Nov-15,Jack,4,2,Low,0.011025258,0.014259319,0.870535387,0.025284577,44.7,1.52,,
8-Nov-15,Jack,4,3,Low,0.006206725,0.010448103,0.267381207,0.016654827,23.9,1.21,,
8-Nov-15,Stand Up,4,1,Low,0.006524068,0.011668443,0.133273468,0.018192511,29.1,1.45,,
8-Nov-15,Stand Up,4,2,Low,,,,,150.9,0.03,,
8-Nov-15,Stand Up,4,3,Low,0.003615245,0.005563613,0.053520795,0.009178857,9.5,1.81,,
8-Nov-15,Jungle,4,1,Low,0.019864728,0.007394123,0.298496661,0.027258851,65.8,1.53,,
8-Nov-15,Jungle,4,2,Low,0.016472828,0.02012321,2.034526608,0.036596038,12.8,1.48,,
8-Nov-15,Jungle,4,3,Low,0.01211383,0.012003254,0.540877681,0.024117084,14.7,1.62,,
8-May-16,Cougar,5,1,High,,,,,,,,
8-May-16,Cougar,5,2,High,0.002602788,0.018429152,0.598580288,0.02103194,,0.15,,
8-May-16,Cougar,5,3,High,0.020081548,0.035435785,0.5235318,0.055517333,,0.08,,
8-May-16,Hurley,5,1,High,0.008038502,0.043850671,0.299241862,0.051889172,,0.02,,
8-May-16,Hurley,5,2,High,0.002867831,0.020899007,0.552215627,0.023766838,,0.06,,
8-May-16,Hurley,5,3,High,0.006269366,0.022953084,0.207766287,0.02922245,,0.04,,
8-May-16,Hovey,5,1,High,,,,,,,,
8-May-16,Hovey,5,2,High,0.003722897,0.026487211,0.345036174,0.030210109,,0.08,,
8-May-16,Hovey,5,3,High,,0.013700432,0.244679782,0.013700432,,0.1,,
8-May-16,Blue,5,1,High,,,,,,,,
8-May-16,Blue,5,2,High,,,,,,,,
8-May-16,Blue,5,3,High,,,,,,,,
8-May-16,Jack,5,1,Low,,,,,,,,
8-May-16,Jack,5,2,Low,,,,,,,,
8-May-16,Jack,5,3,Low,0.005832936,0.034089155,0.2698821,0.03992209,,0.08,,
8-May-16,Moonbeam,5,1,Low,0.008613541,0.028441997,0.212224519,0.037055538,,0.09,,
8-May-16,Moonbeam,5,2,Low,0.016172405,0.196804873,0.136805305,0.212977278,,0.02,,
8-May-16,Moonbeam,5,3,Low,0.00095353,0.139656876,0.086750007,0.140610407,,0.05,,
8-May-16,Stand Up,5,1,Low,0.025397384,0.482734131,0.029976468,0.508131514,,0.02,,
8-May-16,Stand Up,5,2,Low,0.14744901,0.225118234,0.703477065,0.372567244,,0.02,,
8-May-16,Stand Up,5,3,Low,0.004354129,0.185277845,0.094784806,0.189631974,,0.12,,
8-May-16,Jungle,5,1,Low,,,,,,,,
8-May-16,Jungle,5,2,Low,,,,,,,,
8-May-16,Jungle,5,3,Low,,,,,,,,
4-Jun-16,Cougar,6,1,High,,,,,,,,
4-Jun-16,Cougar,6,2,High,0.004191438,,0.435094237,0.004191438,,0.47,,
4-Jun-16,Cougar,6,3,High,0.017681193,0.006759134,0.465354535,0.024440327,,0.43,,
4-Jun-16,Hurley,6,1,High,0.025548399,0.01729848,0.842575565,0.042846879,,0.45,,
4-Jun-16,Hurley,6,2,High,0.013827107,0.000436872,0.486008389,0.014263979,,0.5,,
4-Jun-16,Hurley,6,3,High,0.009353241,0.00344331,0.25915007,0.012796551,,0.48,,
4-Jun-16,Hovey,6,1,High,0.008590785,0.003776237,0.571505738,0.012367022,,0.31,,
4-Jun-16,Hovey,6,2,High,0.0047576,,0.391841224,0.0047576,,0.77,,
4-Jun-16,Hovey,6,3,High,0.005148371,,0.384804504,0.005148371,,0.69,,
